full_name,age,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,saves_total_overall,PSxG,PSxG/SoT,xSaves_total_overall,SoTA
Abbey-Leigh Stringer,28,2022/2023,Midfielder,West Ham United Women,802,398,404,England,11,6,5,0,0,0,0,0,0,0,0,3,2,1,21,10,11,4,0,0,0,0,0,0,0,0
Abbie McManus,30,2022/2023,Defender,Leicester City WFC,152,62,90,England,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0
Adriana Leon,31,2022/2023,Forward,Manchester United Women,76,66,10,Canada,5,4,1,1,1,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Agnes Beever-Jones,20,2022/2023,Forward,Everton Women,757,359,398,England,16,8,8,2,2,0,0,0,0,0,0,5,1,4,13,10,3,4,1,0,0,0,0,0,0,0
Aileen Whelan,32,2022/2023,Forward,Leicester City WFC,1929,990,939,England,22,11,11,1,1,0,1,1,0,0,0,5,3,2,43,22,21,1,0,0,0,0,0,0,0,0
Aimee Claypole,17,2022/2023,Forward,Chelsea Women,9,9,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Aïssatou Tounkara,28,2022/2023,Midfielder,Manchester United Women,4,0,4,France,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alanna Kennedy,28,2022/2023,Defender,Manchester City Women,180,90,90,Australia,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Alessia Russo,24,2022/2023,Midfielder,Manchester United Women,1561,783,778,England,20,10,10,10,9,1,1,1,0,0,0,12,7,5,10,3,7,1,0,1,1,0,0,0,0,0
Alex Greenwood,30,2022/2023,Defender,Manchester City Women,1794,968,826,England,21,11,10,0,0,0,3,2,1,0,1,6,2,4,21,9,12,3,0,0,0,0,0,0,0,0
Alexandra Elena MacIver,25,2022/2023,Goalkeeper,Manchester City Women,270,0,270,England,3,0,3,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,4,1.14,0.19,0.81,6
Alisha Lehmann,24,2022/2023,Forward,Aston Villa Ladies,1533,786,747,Switzerland,22,11,11,5,3,2,2,2,0,0,1,6,1,5,27,17,10,2,0,0,1,0,0,0,0,0
Alsu Abdullina,22,2022/2023,Midfielder,Chelsea Women,115,82,33,Russia,6,3,3,0,0,0,1,0,1,0,0,5,2,3,1,1,0,0,0,0,0,0,0,0,0,0
Amalie Grønbak Thestrup,28,2022/2023,Forward,West Ham United Women,495,242,253,Denmark,10,5,5,0,0,0,0,0,0,0,0,2,2,0,7,4,3,0,0,0,0,0,0,0,0,0
Amalie Vevle Eikeland,28,2022/2023,Forward,Reading Women,1980,990,990,Norway,22,11,11,1,0,1,1,1,0,0,0,1,1,0,56,23,33,2,0,0,0,0,0,0,0,0
Amber Tysiak,23,2022/2023,Midfielder,West Ham United Women,226,145,81,Belgium,4,2,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
Amy Turner,32,2022/2023,Defender,Tottenham Hotspur Women,1856,970,886,England,22,11,11,0,0,0,0,0,0,0,0,3,2,1,43,23,20,4,0,0,0,0,0,0,0,0
Angharad James,29,2022/2023,Midfielder,Tottenham Hotspur Women,1552,669,883,Wales,22,11,11,0,0,0,2,1,1,0,0,3,2,1,34,15,19,1,0,0,0,0,0,0,0,0
Aniek Nouwen,24,2022/2023,Defender,Chelsea Women,118,12,106,Netherlands,3,1,2,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Ann-Katrin Berger,33,2022/2023,Goalkeeper,Chelsea Women,1350,810,540,Germany,15,9,6,0,0,0,0,0,0,0,0,8,5,3,9,5,4,0,0,0,0,33,10.5,0.25,0.75,42
Anna Jessica Leat,22,2022/2023,Goalkeeper,Aston Villa Ladies,630,360,270,New Zealand,7,4,3,0,0,0,0,0,0,0,0,1,0,1,9,5,4,1,0,0,0,18,6.75,0.25,0.75,27
Anna Patten,24,2022/2023,Defender,Aston Villa Ladies,1580,888,692,England,19,10,9,0,0,0,1,0,1,0,0,4,1,3,30,17,13,1,0,0,0,0,0,0,0,0
Anouk Denton,20,2022/2023,Defender,West Ham United Women,246,59,187,England,5,1,4,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0
Aoife Mannion,28,2022/2023,Defender,Manchester United Women,210,115,95,England,5,3,2,0,0,0,0,0,0,0,0,3,3,0,2,0,2,0,0,0,0,0,0,0,0,0
Ashleigh Neville,30,2022/2023,Defender,Tottenham Hotspur Women,1740,933,807,England,21,11,10,3,0,3,3,1,2,0,0,3,2,1,39,22,17,5,1,0,1,0,0,0,0,0
Ashleigh Plumptre,25,2022/2023,Midfielder,Leicester City WFC,1742,894,848,England,20,10,10,1,1,0,0,0,0,0,0,5,3,2,29,14,15,4,0,0,0,0,0,0,0,0
Asmita Ale,21,2022/2023,Defender,Tottenham Hotspur Women,816,324,492,England,13,5,8,0,0,0,1,0,1,0,0,2,1,1,16,7,9,0,0,0,0,0,0,0,0,0
Aurora Galli,26,2022/2023,Midfielder,Everton Women,1068,517,551,Italy,20,11,9,0,0,0,2,1,1,0,0,5,2,3,22,10,12,0,0,0,0,0,0,0,0,0
Bethany England,29,2022/2023,Midfielder,Tottenham Hotspur Women,1265,731,534,England,20,11,9,14,9,5,1,0,1,1,0,4,2,2,29,18,11,0,0,0,3,0,0,0,0,0
Bethany Mead,28,2022/2023,Forward,Arsenal Women,614,344,270,England,7,4,3,3,3,0,4,3,1,0,0,5,2,3,3,3,0,0,0,0,1,0,0,0,0,0
Brianna Visalli,28,2022/2023,Midfielder,Brighton & Hove Albion Women,205,34,171,Republic of Ireland,10,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0
Brooke Cairns,20,2022/2023,Midfielder,West Ham United Women,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooke Hendrix,30,2022/2023,Defender,Reading Women,211,119,92,England,7,4,3,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0
Caitlin Foord,28,2022/2023,Forward,Arsenal Women,1347,652,695,Australia,19,9,10,6,1,5,6,4,2,0,0,10,5,5,11,5,6,3,0,0,2,0,0,0,0,0
Carla Humphrey,26,2022/2023,Midfielder,Liverpool Women,94,16,78,England,8,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
Carlotte Wubben-Moy,24,2022/2023,Defender,Arsenal Women,1615,669,946,England,21,10,11,1,0,1,1,0,1,0,0,11,6,5,14,6,8,1,0,0,0,0,0,0,0,0
Carrie Jones,20,2022/2023,Forward,Leicester City WFC,1274,696,578,Wales,19,10,9,2,2,0,0,0,0,0,0,5,3,2,25,17,8,1,0,0,0,0,0,0,0,0
Catherine Joan Bott,28,2022/2023,Defender,Leicester City WFC,1231,617,614,New Zealand,19,10,9,0,0,0,0,0,0,0,0,4,2,2,28,13,15,4,0,0,0,0,0,0,0,0
Celin Ildhusøy,21,2022/2023,Forward,Tottenham Hotspur Women,1360,741,619,Norway,22,11,11,2,1,1,1,0,1,0,0,3,2,1,34,18,16,1,0,0,0,0,0,0,0,0
Ceri Holland,25,2022/2023,Defender,Liverpool Women,1515,900,615,Wales,19,10,9,4,4,0,0,0,0,0,0,3,2,1,26,11,15,6,0,0,1,0,0,0,0,0
Chantelle Boye-Hlorkah,28,2022/2023,Forward,Aston Villa Ladies,57,25,32,England,4,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Wellings,25,2022/2023,Forward,Reading Women,1309,708,601,England,20,11,9,4,1,3,2,2,0,0,0,1,1,0,39,18,21,1,0,0,0,0,0,0,0,0
Charlotte Wardlaw,20,2022/2023,Midfielder,Liverpool Women,129,18,111,England,4,1,3,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,0,0,0,0,0,0,0,0
Chioma Ubogagu,31,2022/2023,Forward,Tottenham Hotspur Women,213,112,101,USA,9,5,4,0,0,0,0,0,0,0,0,2,1,1,4,2,2,0,0,0,0,0,0,0,0,0
Chloe Kelly,25,2022/2023,Forward,Manchester City Women,1776,901,875,England,22,11,11,5,4,1,9,6,3,0,0,6,2,4,20,9,11,4,0,0,1,0,0,0,0,0
Clare Wheeler,25,2022/2023,Midfielder,Everton Women,1155,639,516,Australia,17,10,7,0,0,0,1,1,0,0,0,4,1,3,26,12,14,0,0,0,0,0,0,0,0,0
Claudia Walker,27,2022/2023,Midfielder,West Ham United Women,243,137,106,England,8,5,3,0,0,0,0,0,0,0,0,3,2,1,2,2,0,1,0,0,0,0,0,0,0,0
Connie Scofield,24,2022/2023,Midfielder,Leicester City WFC,6,6,0,England,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Courtney Brosnan,27,2022/2023,Goalkeeper,Everton Women,1260,450,810,Republic of Ireland,14,5,9,0,0,0,0,0,0,0,0,4,0,4,24,9,15,0,0,0,0,36,16.47,0.27,0.73,61
Courtney Nevin,21,2022/2023,Midfielder,Leicester City WFC,1071,441,630,Australia,12,5,7,0,0,0,4,3,1,0,0,4,2,2,22,5,17,1,0,0,0,0,0,0,0,0
Dagný Brynjarsdóttir,32,2022/2023,Midfielder,West Ham United Women,1766,876,890,Iceland,21,11,10,6,1,5,1,1,0,1,1,5,4,1,36,14,22,1,0,0,0,0,0,0,0,0
Danielle Carter,30,2022/2023,Forward,Brighton & Hove Albion Women,818,258,560,England,20,10,10,5,2,3,1,0,1,3,0,1,1,0,28,11,17,2,0,0,1,0,0,0,0,0
Danielle Turner,32,2022/2023,Midfielder,Aston Villa Ladies,1936,990,946,England,22,11,11,0,0,0,0,0,0,0,0,6,1,5,35,21,14,1,0,0,0,0,0,0,0,0
Deanna Cooper,30,2022/2023,Defender,Reading Women,1001,355,646,England,14,6,8,1,0,1,0,0,0,0,0,1,1,0,30,8,22,5,0,0,0,0,0,0,0,0
Deanne Rose,24,2022/2023,Forward,Reading Women,88,33,55,Canada,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0
Dejana Stefanović,26,2022/2023,Midfielder,Brighton & Hove Albion Women,125,56,69,Serbia,6,4,2,0,0,0,0,0,0,0,0,1,1,0,5,4,1,0,0,0,0,0,0,0,0,0
Demi Lambourne,27,2022/2023,Goalkeeper,Leicester City WFC,180,90,90,England,2,1,1,0,0,0,0,0,0,0,0,0,0,0,9,8,1,0,0,0,0,6,6.6,0.44,0.56,15
Demi Stokes,31,2022/2023,Defender,Manchester City Women,181,1,180,England,3,1,2,0,0,0,0,0,0,0,0,1,0,1,4,0,4,0,0,0,0,0,0,0,0,0
Demi Vance,32,2022/2023,Midfielder,Leicester City WFC,122,122,0,Northern Ireland,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
Deyna Cristina Castellanos Naujenis,24,2022/2023,Forward,Manchester City Women,1078,527,551,Venezuela,19,9,10,1,1,0,1,0,1,0,0,5,1,4,9,5,4,1,0,0,0,0,0,0,0,0
Diane Caldwell,35,2022/2023,Midfielder,Reading Women,759,561,198,Republic of Ireland,11,7,4,0,0,0,0,0,0,0,0,1,1,0,23,16,7,2,0,0,0,0,0,0,0,0
Drew Spence,30,2022/2023,Midfielder,Tottenham Hotspur Women,1776,947,829,England,22,11,11,3,0,3,2,1,1,0,0,3,2,1,42,22,20,5,0,0,1,0,0,0,0,0
Eartha Cumings,24,2022/2023,Goalkeeper,Everton Women,180,0,180,Scotland,2,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,6,2.4,0.2,0.8,12
Easther Kellsy Philomene Mayi Kith,26,2022/2023,Defender,Reading Women,638,389,249,Cameroon,8,5,3,0,0,0,0,0,0,0,0,0,0,0,22,11,11,0,0,0,0,0,0,0,0,0
Elisabeth Terland,22,2022/2023,Forward,Brighton & Hove Albion Women,1378,802,576,Norway,17,10,7,7,4,3,0,0,0,0,0,1,1,0,41,22,19,3,0,0,1,0,0,0,0,0
Elise Isolde Stenevik,24,2022/2023,Midfielder,Everton Women,678,275,403,Norway,19,10,9,0,0,0,2,2,0,0,0,5,2,3,13,5,8,0,0,0,0,0,0,0,0,0
Ella Rose Houghton,19,2022/2023,Midfielder,Tottenham Hotspur Women,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ella Toone,24,2022/2023,Forward,Manchester United Women,1790,877,913,England,22,11,11,3,2,1,8,7,1,0,0,14,8,6,11,4,7,3,1,0,1,0,0,0,0,0
Ellie Brazil,24,2022/2023,Forward,Tottenham Hotspur Women,93,19,74,England,3,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ellie Roebuck,24,2022/2023,Goalkeeper,Manchester City Women,1482,810,672,England,17,9,8,0,0,0,0,0,0,0,0,5,2,3,17,6,11,2,1,0,0,28,12.88,0.28,0.72,46
Emily Gielnik,31,2022/2023,Forward,Aston Villa Ladies,167,76,91,Australia,9,4,5,1,0,1,0,0,0,0,0,2,0,2,4,2,2,0,0,0,0,0,0,0,0,0
Emily Orman,20,2022/2023,Goalkeeper,Chelsea Women,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emily Ramsey,22,2022/2023,Goalkeeper,Everton Women,720,540,180,England,8,6,2,0,0,0,0,0,0,0,0,3,2,1,10,9,1,0,0,0,0,47,13.11,0.23,0.77,57
Emma Koivisto,29,2022/2023,Midfielder,Liverpool Women,1756,849,907,Finland,21,10,11,2,1,1,4,3,1,0,0,3,2,1,34,10,24,2,0,0,0,0,0,0,0,0
Emma Kullberg,32,2022/2023,Defender,Brighton & Hove Albion Women,1537,900,637,Sweden,19,10,9,0,0,0,0,0,0,0,0,1,1,0,49,31,18,3,1,0,0,0,0,0,0,0
Emma Mitchell,31,2022/2023,Defender,Reading Women,1780,856,924,Scotland,21,10,11,0,0,0,2,1,1,0,0,0,0,0,53,23,30,0,0,0,0,0,0,0,0,0
Emma Snerle,22,2022/2023,Forward,West Ham United Women,766,368,398,Denmark,12,6,6,2,1,1,0,0,0,0,0,2,2,0,15,5,10,1,0,0,0,0,0,0,0,0
Erin Cuthbert,25,2022/2023,Midfielder,Chelsea Women,1373,663,710,Scotland,18,9,9,5,3,2,3,2,1,0,0,8,5,3,13,5,8,1,0,0,0,0,0,0,0,0
Erin Simon,29,2022/2023,Defender,Leicester City WFC,715,370,345,USA,10,6,4,0,0,0,0,0,0,0,0,1,1,0,17,13,4,1,0,0,0,0,0,0,0,0
Esme Beth Morgan,22,2022/2023,Defender,Manchester City Women,1329,609,720,England,17,9,8,0,0,0,0,0,0,0,0,5,2,3,15,5,10,1,0,0,0,0,0,0,0,0
Estelle Cascarino,26,2022/2023,Defender,Manchester United Women,19,19,0,France,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eve Perisset,28,2022/2023,Midfielder,Chelsea Women,1166,734,432,France,18,10,8,0,0,0,3,3,0,0,0,10,6,4,8,5,3,0,0,0,0,0,0,0,0,0
Eveliina Summanen,25,2022/2023,Midfielder,Tottenham Hotspur Women,1510,890,620,Finland,20,11,9,3,2,1,3,2,1,0,0,3,2,1,30,20,10,5,0,0,1,0,0,0,0,0
Evie Rabjohn,18,2022/2023,Defender,Aston Villa Ladies,90,90,0,England,3,1,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Faye Bryson,26,2022/2023,Defender,Reading Women,994,475,519,England,17,9,8,0,0,0,1,0,1,0,0,1,1,0,23,8,15,5,0,0,0,0,0,0,0,0
Faye Mary Kirby,23,2022/2023,Goalkeeper,Liverpool Women,270,90,180,England,3,1,2,0,0,0,0,0,0,0,0,0,0,0,6,1,5,1,0,0,0,6,2.28,0.19,0.81,12
Filippa Angeldal,26,2022/2023,Midfielder,Manchester City Women,1097,622,475,Sweden,16,9,7,2,1,1,1,1,0,0,0,4,2,2,14,6,8,1,0,0,0,0,0,0,0,0
Francesca Kirby,30,2022/2023,Forward,Chelsea Women,503,267,236,England,8,4,4,6,3,3,1,0,1,1,0,3,2,1,6,3,3,0,0,0,1,0,0,0,0,0
Freya Godfrey,18,2022/2023,Midfielder,Arsenal Women,1,0,1,England,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Frida Maanum,24,2022/2023,Midfielder,Arsenal Women,1712,797,915,Norway,22,11,11,9,5,4,4,1,3,0,0,11,6,5,15,7,8,1,0,0,0,0,0,0,0,0
Fuka Nagano,24,2022/2023,Midfielder,Liverpool Women,990,540,450,Japan,11,6,5,0,0,0,0,0,0,0,0,2,1,1,14,5,9,0,0,0,0,0,0,0,0,0
Gabrielle George,26,2022/2023,Defender,Everton Women,1329,722,607,England,16,9,7,2,2,0,2,1,1,0,0,7,2,5,13,11,2,3,0,0,0,0,0,0,0,0
Gemma Bonner,32,2022/2023,Defender,Liverpool Women,975,450,525,England,12,5,7,0,0,0,1,1,0,0,0,2,1,1,16,4,12,1,0,0,0,0,0,0,0,0
Gemma Evans,27,2022/2023,Forward,Reading Women,1509,686,823,Wales,19,9,10,0,0,0,1,0,1,0,0,1,1,0,40,12,28,1,0,0,0,0,0,0,0,0
Georgia Brougham,27,2022/2023,Defender,Leicester City WFC,90,90,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0
Georgia Eaton-Collins,23,2022/2023,Defender,Leicester City WFC,272,174,98,England,5,2,3,0,0,0,0,0,0,0,0,2,1,1,4,2,2,0,0,0,0,0,0,0,0,0
Geum-Min Lee,29,2022/2023,Forward,Brighton & Hove Albion Women,1694,874,820,South Korea,22,11,11,3,1,2,2,2,0,0,0,1,1,0,55,29,26,2,0,0,0,0,0,0,0,0
Gilly Louise Scarlett Flaherty,32,2022/2023,Defender,Liverpool Women,720,450,270,England,8,5,3,0,0,0,0,0,0,0,0,1,1,0,13,7,6,2,0,0,0,0,0,0,0,0
Giovana Queiroz,20,2022/2023,Forward,Arsenal Women,323,105,218,Spain,18,7,11,1,0,1,0,0,0,0,0,9,4,5,2,0,2,2,0,0,0,0,0,0,0,0
Grace Fisk,25,2022/2023,Midfielder,West Ham United Women,1808,818,990,England,21,10,11,0,0,0,0,0,0,0,0,5,4,1,39,15,24,2,0,0,0,0,0,0,0,0
Grace Moloney,30,2022/2023,Goalkeeper,Reading Women,1100,540,560,Republic of Ireland,13,6,7,0,0,0,0,0,0,0,0,0,0,0,37,17,20,1,0,0,0,59,25.92,0.27,0.73,96
Guro Bergsvand,29,2022/2023,Defender,Brighton & Hove Albion Women,742,437,305,Norway,10,5,5,0,0,0,1,0,1,0,0,1,1,0,18,13,5,0,0,0,0,0,0,0,0,0
Guro Reiten,29,2022/2023,Midfielder,Chelsea Women,1470,690,780,Norway,21,10,11,9,5,4,11,5,6,2,0,10,5,5,10,3,7,0,0,0,0,0,0,0,0,0
Halle Houssein,18,2022/2023,Midfielder,West Ham United Women,41,31,10,England,5,3,2,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0
Hanna Bennison,21,2022/2023,Forward,Everton Women,1262,625,637,Sweden,21,10,11,3,1,2,0,0,0,0,0,7,2,5,24,12,12,0,0,0,0,0,0,0,0,0
Hannah Cain,24,2022/2023,Forward,Leicester City WFC,1066,526,540,England,14,7,7,2,1,1,2,2,0,1,0,5,3,2,23,6,17,1,0,0,0,0,0,0,0,0
Hannah Hampton,22,2022/2023,Goalkeeper,Aston Villa Ladies,1350,630,720,England,15,7,8,0,0,0,0,0,0,0,0,5,1,4,26,16,10,1,0,0,0,48,21.75,0.29,0.71,75
Hannah Jayne Blundell,29,2022/2023,Defender,Manchester United Women,1848,896,952,England,22,11,11,1,0,1,2,0,2,0,0,14,8,6,10,3,7,3,0,0,0,0,0,0,0,0
Hawa Cissoko,26,2022/2023,Defender,West Ham United Women,1291,540,751,France,16,6,10,1,0,1,0,0,0,0,0,3,2,1,23,8,15,4,1,0,0,0,0,0,0,0
Hayley Ladd,30,2022/2023,Midfielder,Manchester United Women,1702,885,817,Wales,21,11,10,4,3,1,2,1,1,0,0,13,8,5,10,4,6,2,0,0,0,0,0,0,0,0
Hayley Raso,29,2022/2023,Forward,Manchester City Women,302,134,168,Australia,16,9,7,1,1,0,0,0,0,0,0,3,1,2,2,0,2,1,0,0,0,0,0,0,0,0
Honoka Hayashi,25,2022/2023,Midfielder,West Ham United Women,1518,792,726,Japan,21,11,10,1,0,1,0,0,0,0,0,5,4,1,27,10,17,1,0,0,0,0,0,0,0,0
Isibeal Atkinson,22,2022/2023,Forward,West Ham United Women,346,170,176,Republic of Ireland,15,7,8,1,1,0,1,0,1,0,0,2,2,0,9,3,6,0,0,0,0,0,0,0,0,0
Isobel Christiansen,32,2022/2023,Midfielder,Everton Women,572,248,324,England,20,10,10,0,0,0,1,1,0,0,0,7,2,5,8,3,5,0,0,0,0,0,0,0,0,0
Izzy Atkinson,22,2022/2023,Forward,West Ham United Women,31,31,0,Republic of Ireland,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacqueline Burns,26,2022/2023,Goalkeeper,Reading Women,875,450,425,Northern Ireland,10,5,5,0,0,0,0,0,0,0,0,1,1,0,19,6,13,1,1,0,0,34,10.6,0.2,0.8,53
Jade Moore,32,2022/2023,Midfielder,Reading Women,674,332,342,England,12,5,7,0,0,0,0,0,0,0,0,3,1,2,19,9,10,2,0,0,0,0,0,0,0,0
Janina Leitzig,24,2022/2023,Goalkeeper,Leicester City WFC,1170,540,630,Germany,13,6,7,0,0,0,0,0,0,0,0,5,3,2,22,5,17,0,0,0,0,88,22,0.25,0.75,88
Jasmine Matthews,30,2022/2023,Defender,Liverpool Women,1638,866,772,England,20,10,10,0,0,0,0,0,0,0,0,3,2,1,33,10,23,1,0,0,0,0,0,0,0,0
Jayde Yuk Fun Riviere,22,2022/2023,Forward,Manchester United Women,4,4,0,Canada,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jelena Canković,28,2022/2023,Midfielder,Chelsea Women,629,367,262,Serbia,14,6,8,4,3,1,2,0,2,0,0,6,2,4,5,3,2,0,0,0,1,0,0,0,0,0
Jemma Elizabeth Purfield,26,2022/2023,Forward,Leicester City WFC,978,497,481,England,15,7,8,0,0,0,0,0,0,0,0,2,1,1,24,15,9,0,0,0,0,0,0,0,0,0
Jennifer Beattie,32,2022/2023,Defender,Arsenal Women,585,245,340,Scotland,13,6,7,0,0,0,0,0,0,0,0,7,3,4,5,2,3,0,0,0,0,0,0,0,0,0
Jessica Carter,25,2022/2023,Midfielder,Chelsea Women,920,471,449,England,17,9,8,2,1,1,1,1,0,0,0,10,5,5,6,2,4,0,0,0,0,0,0,0,0,0
Jessica Ngunga,23,2022/2023,Forward,Tottenham Hotspur Women,627,197,430,England,15,7,8,2,0,2,0,0,0,0,0,2,1,1,17,6,11,2,0,0,1,0,0,0,0,0
Jessica Park,21,2022/2023,Midfielder,Everton Women,1397,692,705,England,17,8,9,3,1,2,4,1,3,0,0,7,2,5,17,11,6,0,0,0,0,0,0,0,0,0
Jessica Sigsworth,29,2022/2023,Forward,Leicester City WFC,8,8,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessica Ziu,21,2022/2023,Forward,West Ham United Women,170,149,21,Republic of Ireland,3,2,1,0,0,0,1,1,0,0,0,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0
Jessie Fleming,25,2022/2023,Midfielder,Chelsea Women,1207,674,533,Canada,20,11,9,3,1,2,1,1,0,0,0,11,6,5,6,3,3,1,0,0,1,0,0,0,0,0
Jodie Taylor,37,2022/2023,Forward,Arsenal Women,310,135,175,England,8,3,5,0,0,0,1,1,0,0,0,2,1,1,3,2,1,1,0,0,0,0,0,0,0,0
Johanna Rytting-Kaneryd,26,2022/2023,Midfielder,Chelsea Women,868,366,502,Sweden,20,9,11,1,1,0,3,2,1,0,0,9,4,5,5,3,2,0,0,0,0,0,0,0,0,0
Jordan Nobbs,30,2022/2023,Midfielder,Aston Villa Ladies,1147,596,551,England,20,11,9,6,1,5,0,0,0,0,0,8,4,4,13,7,6,2,0,1,1,0,0,0,0,0
Jorja Fox,20,2022/2023,Defender,Brighton & Hove Albion Women,1178,457,721,England,17,8,9,1,0,1,0,0,0,0,0,1,1,0,42,19,23,0,0,0,0,0,0,0,0,0
Josie Green,30,2022/2023,Midfielder,Leicester City WFC,985,435,550,Wales,15,7,8,1,1,0,1,0,1,0,0,3,2,1,22,6,16,1,0,0,0,0,0,0,0,0
